dataset,model,setting,method,value
Med-Unlearn,LLaMA-3.2-1B,Independent,GD,17.4±0.0446
Med-Unlearn,LLaMA-3.2-1B,Independent,NPO,5.84±0.1649
Med-Unlearn,LLaMA-3.2-1B,Independent,DPO,14.39±0.0983
Med-Unlearn,LLaMA-3.2-1B,Independent,RMU,16.93±0.0639
Med-Unlearn,LLaMA-3.2-1B,Independent,WGA,16.51±0.2082
Med-Unlearn,LLaMA-3.2-1B,Independent,PDU,7.27±0.0245
Med-Unlearn,LLaMA-3.2-1B,Coupled,GD,0.5±0.1197
Med-Unlearn,LLaMA-3.2-1B,Coupled,NPO,0.82±0.1459
Med-Unlearn,LLaMA-3.2-1B,Coupled,DPO,1.58±0.427
Med-Unlearn,LLaMA-3.2-1B,Coupled,RMU,-0.21±0.0522
Med-Unlearn,LLaMA-3.2-1B,Coupled,WGA,0.07±0.1568
Med-Unlearn,LLaMA-3.2-1B,Coupled,PDU,-0.01±0.05
Med-Unlearn,LLaMA-3.1-8B,Independent,GD,23.25±0.1521
Med-Unlearn,LLaMA-3.1-8B,Independent,NPO,6.65±0.132
Med-Unlearn,LLaMA-3.1-8B,Independent,DPO,6.23±0.0838
Med-Unlearn,LLaMA-3.1-8B,Independent,RMU,24.24±0.1485
Med-Unlearn,LLaMA-3.1-8B,Independent,WGA,32.69±0.1509
Med-Unlearn,LLaMA-3.1-8B,Independent,PDU,0.45±0.0232
Med-Unlearn,LLaMA-3.1-8B,Coupled,GD,11.15±0.1321
Med-Unlearn,LLaMA-3.1-8B,Coupled,NPO,0.47±0.0991
Med-Unlearn,LLaMA-3.1-8B,Coupled,DPO,1.32±0.284
Med-Unlearn,LLaMA-3.1-8B,Coupled,RMU,20.87±0.1164
Med-Unlearn,LLaMA-3.1-8B,Coupled,WGA,16.76±0.1177
Med-Unlearn,LLaMA-3.1-8B,Coupled,PDU,0.02±0.0326
Med-Unlearn,Qwen2.5-3B,Independent,GD,13.98±0.1319
Med-Unlearn,Qwen2.5-3B,Independent,NPO,3.35±0.053
Med-Unlearn,Qwen2.5-3B,Independent,DPO,7.56±0.1461
Med-Unlearn,Qwen2.5-3B,Independent,RMU,0.05±0.1158
Med-Unlearn,Qwen2.5-3B,Independent,WGA,11.0±0.1587
Med-Unlearn,Qwen2.5-3B,Independent,PDU,0.32±0.051
Med-Unlearn,Qwen2.5-3B,Coupled,GD,3.21±0.0258
Med-Unlearn,Qwen2.5-3B,Coupled,NPO,0.62±0.0187
Med-Unlearn,Qwen2.5-3B,Coupled,DPO,0.78±0.5188
Med-Unlearn,Qwen2.5-3B,Coupled,RMU,-0.69±0.1141
Med-Unlearn,Qwen2.5-3B,Coupled,WGA,-0.14±0.036
Med-Unlearn,Qwen2.5-3B,Coupled,PDU,0.06±0.0387
Med-Unlearn,Qwen2.5-7B,Independent,GD,22.62±0.0627
Med-Unlearn,Qwen2.5-7B,Independent,NPO,13.68±0.1096
Med-Unlearn,Qwen2.5-7B,Independent,DPO,8.12±0.5329
Med-Unlearn,Qwen2.5-7B,Independent,RMU,3.85±0.1656
Med-Unlearn,Qwen2.5-7B,Independent,WGA,27.14±0.0969
Med-Unlearn,Qwen2.5-7B,Independent,PDU,22.18±0.1591
Med-Unlearn,Qwen2.5-7B,Coupled,GD,15.05±0.0834
Med-Unlearn,Qwen2.5-7B,Coupled,NPO,0.97±0.093
Med-Unlearn,Qwen2.5-7B,Coupled,DPO,2.39±0.1903
Med-Unlearn,Qwen2.5-7B,Coupled,RMU,-0.76±0.1011
Med-Unlearn,Qwen2.5-7B,Coupled,WGA,1.01±0.1087
Med-Unlearn,Qwen2.5-7B,Coupled,PDU,0.22±0.0313
MIMIC-Unlearn,LLaMA-3.2-1B,Independent,GD,40.61±0.2105
MIMIC-Unlearn,LLaMA-3.2-1B,Independent,NPO,44.51±0.2354
MIMIC-Unlearn,LLaMA-3.2-1B,Independent,DPO,46.09±0.158
MIMIC-Unlearn,LLaMA-3.2-1B,Independent,RMU,41.28±0.1788
MIMIC-Unlearn,LLaMA-3.2-1B,Independent,WGA,47.27±0.21
MIMIC-Unlearn,LLaMA-3.2-1B,Independent,PDU,33.26±0.1651
MIMIC-Unlearn,LLaMA-3.2-1B,Coupled,GD,0.97±0.1006
MIMIC-Unlearn,LLaMA-3.2-1B,Coupled,NPO,1.16±0.2755
MIMIC-Unlearn,LLaMA-3.2-1B,Coupled,DPO,0.48±0.3716
MIMIC-Unlearn,LLaMA-3.2-1B,Coupled,RMU,0.18±0.423
MIMIC-Unlearn,LLaMA-3.2-1B,Coupled,WGA,0.24±0.2179
MIMIC-Unlearn,LLaMA-3.2-1B,Coupled,PDU,-0.05±0.108
MIMIC-Unlearn,LLaMA-3.1-8B,Independent,GD,46.36±0.0393
MIMIC-Unlearn,LLaMA-3.1-8B,Independent,NPO,57.06±0.0831
MIMIC-Unlearn,LLaMA-3.1-8B,Independent,DPO,62.51±0.4114
MIMIC-Unlearn,LLaMA-3.1-8B,Independent,RMU,46.94±0.3381
MIMIC-Unlearn,LLaMA-3.1-8B,Independent,WGA,55.82±0.561
MIMIC-Unlearn,LLaMA-3.1-8B,Independent,PDU,26.27±0.4397
MIMIC-Unlearn,LLaMA-3.1-8B,Coupled,GD,1.54±0.0248
MIMIC-Unlearn,LLaMA-3.1-8B,Coupled,NPO,4.89±0.4339
MIMIC-Unlearn,LLaMA-3.1-8B,Coupled,DPO,0.52±0.4074
MIMIC-Unlearn,LLaMA-3.1-8B,Coupled,RMU,33.22±0.0707
MIMIC-Unlearn,LLaMA-3.1-8B,Coupled,WGA,30.5±0.2671
MIMIC-Unlearn,LLaMA-3.1-8B,Coupled,PDU,0.02±0.0428
MIMIC-Unlearn,Qwen2.5-3B,Independent,GD,38.54±0.0514
MIMIC-Unlearn,Qwen2.5-3B,Independent,NPO,23.89±0.1726
MIMIC-Unlearn,Qwen2.5-3B,Independent,DPO,14.25±0.3178
MIMIC-Unlearn,Qwen2.5-3B,Independent,RMU,3.47±0.3166
MIMIC-Unlearn,Qwen2.5-3B,Independent,WGA,25.77±0.2327
MIMIC-Unlearn,Qwen2.5-3B,Independent,PDU,1.52±0.1075
MIMIC-Unlearn,Qwen2.5-3B,Coupled,GD,0.97±0.2215
MIMIC-Unlearn,Qwen2.5-3B,Coupled,NPO,0.42±0.0997
MIMIC-Unlearn,Qwen2.5-3B,Coupled,DPO,0.27±0.3619
MIMIC-Unlearn,Qwen2.5-3B,Coupled,RMU,-0.32±0.3956
MIMIC-Unlearn,Qwen2.5-3B,Coupled,WGA,-0.06±0.1095
MIMIC-Unlearn,Qwen2.5-3B,Coupled,PDU,0.05±0.0277
MIMIC-Unlearn,Qwen2.5-7B,Independent,GD,38.1±0.1646
MIMIC-Unlearn,Qwen2.5-7B,Independent,NPO,38.36±0.0328
MIMIC-Unlearn,Qwen2.5-7B,Independent,DPO,39.39±0.3022
MIMIC-Unlearn,Qwen2.5-7B,Independent,RMU,23.86±0.2804
MIMIC-Unlearn,Qwen2.5-7B,Independent,WGA,49.52±0.2564
MIMIC-Unlearn,Qwen2.5-7B,Independent,PDU,35.05±0.4812
MIMIC-Unlearn,Qwen2.5-7B,Coupled,GD,14.36±0.053
MIMIC-Unlearn,Qwen2.5-7B,Coupled,NPO,1.3±0.1272
MIMIC-Unlearn,Qwen2.5-7B,Coupled,DPO,1.05±0.9758
MIMIC-Unlearn,Qwen2.5-7B,Coupled,RMU,-0.3±0.2796
MIMIC-Unlearn,Qwen2.5-7B,Coupled,WGA,1.11±0.1938
MIMIC-Unlearn,Qwen2.5-7B,Coupled,PDU,-0.1±0.0883
