dataset,model,method,benchmark,accuracy_pct
Med-Unlearn,LLaMA-3.2-1B,GD,MedQA,26.71
Med-Unlearn,LLaMA-3.2-1B,NPO,MedQA,26.55
Med-Unlearn,LLaMA-3.2-1B,DPO,MedQA,28.52
Med-Unlearn,LLaMA-3.2-1B,RMU,MedQA,27.97
Med-Unlearn,LLaMA-3.2-1B,WGA,MedQA,27.73
Med-Unlearn,LLaMA-3.2-1B,PDU,MedQA,28.20
Med-Unlearn,LLaMA-3.2-1B,MEDCU,MedQA,30.40
Med-Unlearn,LLaMA-3.2-1B,GD,MedMCQA,33.30
Med-Unlearn,LLaMA-3.2-1B,NPO,MedMCQA,30.72
Med-Unlearn,LLaMA-3.2-1B,DPO,MedMCQA,34.21
Med-Unlearn,LLaMA-3.2-1B,RMU,MedMCQA,29.07
Med-Unlearn,LLaMA-3.2-1B,WGA,MedMCQA,35.76
Med-Unlearn,LLaMA-3.2-1B,PDU,MedMCQA,31.05
Med-Unlearn,LLaMA-3.2-1B,MEDCU,MedMCQA,36.07
Med-Unlearn,LLaMA-3.2-1B,GD,PubMedQA,55.40
Med-Unlearn,LLaMA-3.2-1B,NPO,PubMedQA,34.40
Med-Unlearn,LLaMA-3.2-1B,DPO,PubMedQA,55.40
Med-Unlearn,LLaMA-3.2-1B,RMU,PubMedQA,52.60
Med-Unlearn,LLaMA-3.2-1B,WGA,PubMedQA,58.00
Med-Unlearn,LLaMA-3.2-1B,PDU,PubMedQA,42.80
Med-Unlearn,LLaMA-3.2-1B,MEDCU,PubMedQA,61.20
Med-Unlearn,LLaMA-3.1-8B,GD,MedQA,27.81
Med-Unlearn,LLaMA-3.1-8B,NPO,MedQA,28.04
Med-Unlearn,LLaMA-3.1-8B,DPO,MedQA,33.54
Med-Unlearn,LLaMA-3.1-8B,RMU,MedQA,44.93
Med-Unlearn,LLaMA-3.1-8B,WGA,MedQA,35.66
Med-Unlearn,LLaMA-3.1-8B,PDU,MedQA,25.22
Med-Unlearn,LLaMA-3.1-8B,MEDCU,MedQA,50.27
Med-Unlearn,LLaMA-3.1-8B,GD,MedMCQA,32.18
Med-Unlearn,LLaMA-3.1-8B,NPO,MedMCQA,33.18
Med-Unlearn,LLaMA-3.1-8B,DPO,MedMCQA,40.02
Med-Unlearn,LLaMA-3.1-8B,RMU,MedMCQA,52.16
Med-Unlearn,LLaMA-3.1-8B,WGA,MedMCQA,42.51
Med-Unlearn,LLaMA-3.1-8B,PDU,MedMCQA,27.87
Med-Unlearn,LLaMA-3.1-8B,MEDCU,MedMCQA,51.59
Med-Unlearn,LLaMA-3.1-8B,GD,PubMedQA,66.60
Med-Unlearn,LLaMA-3.1-8B,NPO,PubMedQA,65.00
Med-Unlearn,LLaMA-3.1-8B,DPO,PubMedQA,64.40
Med-Unlearn,LLaMA-3.1-8B,RMU,PubMedQA,76.40
Med-Unlearn,LLaMA-3.1-8B,WGA,PubMedQA,71.40
Med-Unlearn,LLaMA-3.1-8B,PDU,PubMedQA,40.40
Med-Unlearn,LLaMA-3.1-8B,MEDCU,PubMedQA,76.40
Med-Unlearn,Qwen2.5-3B,GD,MedQA,50.04
Med-Unlearn,Qwen2.5-3B,NPO,MedQA,50.35
Med-Unlearn,Qwen2.5-3B,DPO,MedQA,50.51
Med-Unlearn,Qwen2.5-3B,RMU,MedQA,48.08
Med-Unlearn,Qwen2.5-3B,WGA,MedQA,50.27
Med-Unlearn,Qwen2.5-3B,PDU,MedQA,44.70
Med-Unlearn,Qwen2.5-3B,MEDCU,MedQA,50.75
Med-Unlearn,Qwen2.5-3B,GD,MedMCQA,50.06
Med-Unlearn,Qwen2.5-3B,NPO,MedMCQA,49.58
Med-Unlearn,Qwen2.5-3B,DPO,MedMCQA,49.15
Med-Unlearn,Qwen2.5-3B,RMU,MedMCQA,45.78
Med-Unlearn,Qwen2.5-3B,WGA,MedMCQA,49.39
Med-Unlearn,Qwen2.5-3B,PDU,MedMCQA,48.63
Med-Unlearn,Qwen2.5-3B,MEDCU,MedMCQA,49.63
Med-Unlearn,Qwen2.5-3B,GD,PubMedQA,71.80
Med-Unlearn,Qwen2.5-3B,NPO,PubMedQA,71.20
Med-Unlearn,Qwen2.5-3B,DPO,PubMedQA,70.80
Med-Unlearn,Qwen2.5-3B,RMU,PubMedQA,69.00
Med-Unlearn,Qwen2.5-3B,WGA,PubMedQA,71.80
Med-Unlearn,Qwen2.5-3B,PDU,PubMedQA,73.00
Med-Unlearn,Qwen2.5-3B,MEDCU,PubMedQA,73.20
Med-Unlearn,Qwen2.5-7B,GD,MedQA,56.32
Med-Unlearn,Qwen2.5-7B,NPO,MedQA,56.95
Med-Unlearn,Qwen2.5-7B,DPO,MedQA,58.60
Med-Unlearn,Qwen2.5-7B,RMU,MedQA,54.75
Med-Unlearn,Qwen2.5-7B,WGA,MedQA,57.89
Med-Unlearn,Qwen2.5-7B,PDU,MedQA,49.57
Med-Unlearn,Qwen2.5-7B,MEDCU,MedQA,58.37
Med-Unlearn,Qwen2.5-7B,GD,MedMCQA,55.37
Med-Unlearn,Qwen2.5-7B,NPO,MedMCQA,55.63
Med-Unlearn,Qwen2.5-7B,DPO,MedMCQA,56.51
Med-Unlearn,Qwen2.5-7B,RMU,MedMCQA,51.49
Med-Unlearn,Qwen2.5-7B,WGA,MedMCQA,56.04
Med-Unlearn,Qwen2.5-7B,PDU,MedMCQA,50.97
Med-Unlearn,Qwen2.5-7B,MEDCU,MedMCQA,56.25
Med-Unlearn,Qwen2.5-7B,GD,PubMedQA,76.20
Med-Unlearn,Qwen2.5-7B,NPO,PubMedQA,74.00
Med-Unlearn,Qwen2.5-7B,DPO,PubMedQA,74.60
Med-Unlearn,Qwen2.5-7B,RMU,PubMedQA,73.60
Med-Unlearn,Qwen2.5-7B,WGA,PubMedQA,75.40
Med-Unlearn,Qwen2.5-7B,PDU,PubMedQA,72.60
Med-Unlearn,Qwen2.5-7B,MEDCU,PubMedQA,76.80
MIMIC-Unlearn,LLaMA-3.2-1B,GD,MedQA,26.71
MIMIC-Unlearn,LLaMA-3.2-1B,NPO,MedQA,28.59
MIMIC-Unlearn,LLaMA-3.2-1B,DPO,MedQA,28.44
MIMIC-Unlearn,LLaMA-3.2-1B,RMU,MedQA,27.65
MIMIC-Unlearn,LLaMA-3.2-1B,WGA,MedQA,27.97
MIMIC-Unlearn,LLaMA-3.2-1B,PDU,MedQA,25.53
MIMIC-Unlearn,LLaMA-3.2-1B,MEDCU,MedQA,30.01
MIMIC-Unlearn,LLaMA-3.2-1B,GD,MedMCQA,30.70
MIMIC-Unlearn,LLaMA-3.2-1B,NPO,MedMCQA,29.17
MIMIC-Unlearn,LLaMA-3.2-1B,DPO,MedMCQA,33.44
MIMIC-Unlearn,LLaMA-3.2-1B,RMU,MedMCQA,30.79
MIMIC-Unlearn,LLaMA-3.2-1B,WGA,MedMCQA,31.80
MIMIC-Unlearn,LLaMA-3.2-1B,PDU,MedMCQA,22.93
MIMIC-Unlearn,LLaMA-3.2-1B,MEDCU,MedMCQA,33.73
MIMIC-Unlearn,LLaMA-3.2-1B,GD,PubMedQA,55.00
MIMIC-Unlearn,LLaMA-3.2-1B,NPO,PubMedQA,57.00
MIMIC-Unlearn,LLaMA-3.2-1B,DPO,PubMedQA,56.40
MIMIC-Unlearn,LLaMA-3.2-1B,RMU,PubMedQA,56.80
MIMIC-Unlearn,LLaMA-3.2-1B,WGA,PubMedQA,56.80
MIMIC-Unlearn,LLaMA-3.2-1B,PDU,PubMedQA,50.40
MIMIC-Unlearn,LLaMA-3.2-1B,MEDCU,PubMedQA,59.20
MIMIC-Unlearn,LLaMA-3.1-8B,GD,MedQA,23.25
MIMIC-Unlearn,LLaMA-3.1-8B,NPO,MedQA,34.09
MIMIC-Unlearn,LLaMA-3.1-8B,DPO,MedQA,43.28
MIMIC-Unlearn,LLaMA-3.1-8B,RMU,MedQA,41.01
MIMIC-Unlearn,LLaMA-3.1-8B,WGA,MedQA,30.79
MIMIC-Unlearn,LLaMA-3.1-8B,PDU,MedQA,26.55
MIMIC-Unlearn,LLaMA-3.1-8B,MEDCU,MedQA,53.65
