dataset,model,method,condition,value,significance_marker
Med-Unlearn,LLaMA-3.2-1B,GD,original,0.498723±0.119721,
Med-Unlearn,LLaMA-3.2-1B,NPO,original,0.815993±0.145859,
Med-Unlearn,LLaMA-3.2-1B,DPO,original,1.579309±0.427048,
Med-Unlearn,LLaMA-3.2-1B,RMU,original,-0.213131±0.052166,
Med-Unlearn,LLaMA-3.2-1B,WGA,original,0.069192±0.156817,
Med-Unlearn,LLaMA-3.2-1B,PDU,original,-0.013167±0.050038,
Med-Unlearn,LLaMA-3.2-1B,MEDCU,original,28.366843±0.051197,
Med-Unlearn,LLaMA-3.2-1B,GD,paraphrased,0.544609±0.079654,
Med-Unlearn,LLaMA-3.2-1B,NPO,paraphrased,0.867807±0.060723,
Med-Unlearn,LLaMA-3.2-1B,DPO,paraphrased,0.902088±0.219308,
Med-Unlearn,LLaMA-3.2-1B,RMU,paraphrased,-0.189919±0.04316,
Med-Unlearn,LLaMA-3.2-1B,WGA,paraphrased,0.20283±0.097717,
Med-Unlearn,LLaMA-3.2-1B,PDU,paraphrased,-0.010821±0.014682,
Med-Unlearn,LLaMA-3.2-1B,MEDCU,paraphrased,26.06704±0.116115,*
Med-Unlearn,LLaMA-3.1-8B,GD,original,11.15237±0.132077,
Med-Unlearn,LLaMA-3.1-8B,NPO,original,0.468498±0.099105,
Med-Unlearn,LLaMA-3.1-8B,DPO,original,1.321061±0.284038,
Med-Unlearn,LLaMA-3.1-8B,RMU,original,20.876221±0.116408,
Med-Unlearn,LLaMA-3.1-8B,WGA,original,16.768897±0.117691,
Med-Unlearn,LLaMA-3.1-8B,PDU,original,0.026106±0.03258,
Med-Unlearn,LLaMA-3.1-8B,MEDCU,original,22.186429±0.106539,
Med-Unlearn,LLaMA-3.1-8B,GD,paraphrased,7.510985±0.057269,
Med-Unlearn,LLaMA-3.1-8B,NPO,paraphrased,0.471213±0.110937,
Med-Unlearn,LLaMA-3.1-8B,DPO,paraphrased,1.418948±0.53722,
Med-Unlearn,LLaMA-3.1-8B,RMU,paraphrased,15.768198±0.074494,
Med-Unlearn,LLaMA-3.1-8B,WGA,paraphrased,15.007159±0.082051,
Med-Unlearn,LLaMA-3.1-8B,PDU,paraphrased,-0.009627±0.045617,
Med-Unlearn,LLaMA-3.1-8B,MEDCU,paraphrased,27.643233±0.113197,*
Med-Unlearn,Qwen2.5-3B,GD,original,3.201363±0.025793,
Med-Unlearn,Qwen2.5-3B,NPO,original,0.615392±0.018674,
Med-Unlearn,Qwen2.5-3B,DPO,original,0.776488±0.518819,
Med-Unlearn,Qwen2.5-3B,RMU,original,-0.686587±0.114101,
Med-Unlearn,Qwen2.5-3B,WGA,original,-0.147115±0.035997,
Med-Unlearn,Qwen2.5-3B,PDU,original,0.062734±0.038671,
Med-Unlearn,Qwen2.5-3B,MEDCU,original,26.743649±0.074656,
Med-Unlearn,Qwen2.5-3B,GD,paraphrased,2.124248±0.064043,
Med-Unlearn,Qwen2.5-3B,NPO,paraphrased,0.562111±0.069759,
Med-Unlearn,Qwen2.5-3B,DPO,paraphrased,1.070242±0.196551,
Med-Unlearn,Qwen2.5-3B,RMU,paraphrased,-0.534817±0.12521,
Med-Unlearn,Qwen2.5-3B,WGA,paraphrased,-0.011889±0.078091,
Med-Unlearn,Qwen2.5-3B,PDU,paraphrased,0.077128±0.046228,
