hyperparameter,hyperparameter_value,value
rank_k,16,36.3451±0.139
rank_k,32,37.5546±0.1797
rank_k,64,37.675±0.1865
rank_k,128,37.8339±0.1855
rank_k,256,36.9751±0.257
weight_floor,0.0,37.3264±0.2072
weight_floor,0.05,37.6883±0.2864
weight_floor,0.1,37.675±0.1865
weight_floor,0.2,37.1173±0.3635
weight_floor,0.3,36.7117±0.227
retain_weight,0.25,35.7733±0.1952
retain_weight,0.5,37.6903±0.1457
retain_weight,1.0,37.675±0.1865
retain_weight,2.0,36.8399±0.1381
retain_weight,4.0,35.192±0.1757
quantile_band,0.05/0.95,36.6852±0.0444
quantile_band,0.1/0.9,37.675±0.1865
quantile_band,0.2/0.8,37.6408±0.2487
quantile_band,0.3/0.7,37.1506±0.1096
